requested_k,evaluated_k,candidate_count,known_interactions,baseline_known_rate,hits_at_k,hit_rate_at_k,recall_at_k,enrichment_factor_at_k,success_at_k
1,1,118,115,0.9745762711864406,1,1.0,0.008695652173913044,1.0260869565217392,1
5,5,118,115,0.9745762711864406,5,1.0,0.043478260869565216,1.0260869565217392,1
10,10,118,115,0.9745762711864406,10,1.0,0.08695652173913043,1.0260869565217392,1
20,20,118,115,0.9745762711864406,20,1.0,0.17391304347826086,1.0260869565217392,1
50,50,118,115,0.9745762711864406,50,1.0,0.43478260869565216,1.0260869565217392,1
100,100,118,115,0.9745762711864406,100,1.0,0.8695652173913043,1.0260869565217392,1
