requested_k,evaluated_k,candidate_count,known_interactions,baseline_known_rate,hits_at_k,hit_rate_at_k,recall_at_k,enrichment_factor_at_k,success_at_k
1,1,145,144,0.993103448275862,1,1.0,0.006944444444444444,1.0069444444444444,1
5,5,145,144,0.993103448275862,5,1.0,0.034722222222222224,1.0069444444444444,1
10,10,145,144,0.993103448275862,10,1.0,0.06944444444444445,1.0069444444444444,1
20,20,145,144,0.993103448275862,20,1.0,0.1388888888888889,1.0069444444444444,1
50,50,145,144,0.993103448275862,50,1.0,0.3472222222222222,1.0069444444444444,1
100,100,145,144,0.993103448275862,99,0.99,0.6875,0.996875,1
