requested_k,evaluated_k,candidate_count,known_interactions,baseline_known_rate,hits_at_k,hit_rate_at_k,recall_at_k,enrichment_factor_at_k,success_at_k
1,1,88,86,0.9772727272727273,1,1.0,0.011627906976744186,1.0232558139534884,1
5,5,88,86,0.9772727272727273,5,1.0,0.05813953488372093,1.0232558139534884,1
10,10,88,86,0.9772727272727273,10,1.0,0.11627906976744186,1.0232558139534884,1
20,20,88,86,0.9772727272727273,20,1.0,0.23255813953488372,1.0232558139534884,1
50,50,88,86,0.9772727272727273,50,1.0,0.5813953488372093,1.0232558139534884,1
100,88,88,86,0.9772727272727273,86,0.9772727272727273,1.0,1.0,1
