requested_k,evaluated_k,candidate_count,known_interactions,baseline_known_rate,hits_at_k,hit_rate_at_k,recall_at_k,enrichment_factor_at_k,success_at_k
1,1,38,27,0.7105263157894737,1,1.0,0.037037037037037035,1.4074074074074074,1
5,5,38,27,0.7105263157894737,4,0.8,0.14814814814814814,1.125925925925926,1
10,10,38,27,0.7105263157894737,8,0.8,0.2962962962962963,1.125925925925926,1
20,20,38,27,0.7105263157894737,15,0.75,0.5555555555555556,1.0555555555555556,1
50,38,38,27,0.7105263157894737,27,0.7105263157894737,1.0,1.0,1
100,38,38,27,0.7105263157894737,27,0.7105263157894737,1.0,1.0,1
