requested_k,evaluated_k,candidate_count,known_interactions,baseline_known_rate,hits_at_k,hit_rate_at_k,recall_at_k,enrichment_factor_at_k,success_at_k
1,1,92,90,0.9782608695652174,1,1.0,0.011111111111111112,1.0222222222222221,1
5,5,92,90,0.9782608695652174,5,1.0,0.05555555555555555,1.0222222222222221,1
10,10,92,90,0.9782608695652174,10,1.0,0.1111111111111111,1.0222222222222221,1
20,20,92,90,0.9782608695652174,20,1.0,0.2222222222222222,1.0222222222222221,1
50,50,92,90,0.9782608695652174,50,1.0,0.5555555555555556,1.0222222222222221,1
100,92,92,90,0.9782608695652174,90,0.9782608695652174,1.0,1.0,1
