requested_k,evaluated_k,candidate_count,known_interactions,baseline_known_rate,hits_at_k,hit_rate_at_k,recall_at_k,enrichment_factor_at_k,success_at_k
1,1,48,37,0.7708333333333334,1,1.0,0.02702702702702703,1.2972972972972971,1
5,5,48,37,0.7708333333333334,5,1.0,0.13513513513513514,1.2972972972972971,1
10,10,48,37,0.7708333333333334,10,1.0,0.2702702702702703,1.2972972972972971,1
20,20,48,37,0.7708333333333334,20,1.0,0.5405405405405406,1.2972972972972971,1
50,48,48,37,0.7708333333333334,37,0.7708333333333334,1.0,1.0,1
100,48,48,37,0.7708333333333334,37,0.7708333333333334,1.0,1.0,1
